Degree,Subject,Median_Debt,Degree_Type
Bachelors,Accounting,0.0,Bachelors
Bachelors,Aerospace Engineering,0.0,Bachelors
Bachelors,Biomedical Engineering,0.0,Bachelors
Bachelors,Business Administration,0.0,Bachelors
Bachelors,Chemical Engineering,0.0,Bachelors
Bachelors,Civil Engineering,0.0,Bachelors
Bachelors,Cognitive Science,0.0,Bachelors
Bachelors,Computer Engineering,0.0,Bachelors
Bachelors,Computer Science,0.0,Bachelors
Bachelors,Economics,0.0,Bachelors
Bachelors,Electrical Engineering,0.0,Bachelors
Bachelors,Electronics Engineering,0.0,Bachelors
Bachelors,Finance,0.0,Bachelors
Bachelors,Industrial Engineering,0.0,Bachelors
Bachelors,Information Technology,0.0,Bachelors
Bachelors,Management Information Systems,0.0,Bachelors
Bachelors,Marine Engineering,0.0,Bachelors
Bachelors,Mathematics,0.0,Bachelors
Bachelors,Mechanical Engineering,0.0,Bachelors
Bachelors,Nursing,0.0,Bachelors
Bachelors,Petroleum Engineering,0.0,Bachelors
Bachelors,Pharmacy,0.0,Bachelors
Bachelors,Physics,0.0,Bachelors
Bachelors,Statistics,0.0,Bachelors
Bachelors,Systems Engineering,0.0,Bachelors
