Masters Degree,Subject,Median_Debt,x,x.1,x.2,Degree_Type
Masters,Business Administration,,0.0,0.0,0.0,Masters
Masters,Chemical Engineering,,0.0,0.0,0.0,Masters
Masters,Computer Engineering,,0.0,0.0,0.0,Masters
Masters,Economics,,0.0,0.0,0.0,Masters
Masters,Engineering,,0.0,0.0,0.0,Masters
Masters,Finance,,0.0,0.0,0.0,Masters
Masters,Healthcare administration,,0.0,0.0,0.0,Masters
Masters,Industrial Engineering,,0.0,0.0,0.0,Masters
Masters,Information Sciences,,0.0,0.0,0.0,Masters
Masters,Marketing,,0.0,0.0,0.0,Masters
Masters,Mathematician,,0.0,0.0,0.0,Masters
Masters,Medicine,,0.0,0.0,0.0,Masters
Masters,Petroleum Engineering,,0.0,0.0,0.0,Masters
Masters,Physcians Assistant,,0.0,0.0,0.0,Masters
Masters,Software Engineering,,0.0,0.0,0.0,Masters
