Degree,Subject,Early_Career_Salary,Job_Growth
Bachelors,Accounting,51002,0.04
Bachelors,Aerospace Engineering,82053,0.06
Bachelors,Biomedical Engineering,70486,0.05
Bachelors,Business Administration,51489,0.1
Bachelors,Chemical Engineering,75427,0.08
Bachelors,Civil Engineering,66517,0.05
Bachelors,Cognitive Science,82000,-
Bachelors,Computer Engineering,80587,0.05
Bachelors,Computer Science,74000,0.32
Bachelors,Economics,77589,0.06
Bachelors,Electrical Engineering,76426,0.04
Bachelors,Electronics Engineering,78910,0.07
Bachelors,Finance,76000,0.2
Bachelors,Industrial Engineering,70229,0.12
Bachelors,Information Technology,67110,0.1
Bachelors,Management Information Systems,64000,0.15
Bachelors,Marine Engineering,70837,0.04
Bachelors,Mathematics,69435,0.152
Bachelors,Mechanical Engineering,72441,0.1
Bachelors,Nursing,65792,0.06
Bachelors,Petroleum Engineering,96742,0.02
Bachelors,Pharmacy,112842,0.02
Bachelors,Physics,86168,0.05
Bachelors,Statistics,79100,0.32
Bachelors,Systems Engineering,78239,0.05
