year,<620,620-659,660-719,720-759,760+
2004,9.004,3.374,5.334,2.946,2.244
2005,9.787,3.567,5.574,3.132,2.673
2006,10.787,3.782,5.955,3.51,3.264
2007,11.475,3.824,6.148,3.714,3.743
2008,12.649,4.08,6.379,3.916,4.4
2009,13.794,4.599,6.99,4.146,4.767
2010,14.866,5.201,7.67,4.312,4.936
2011,14.881,4.725,8.165,4.273,4.966
2012,16.542,4.685,8.119,4.416,5.109
2013,17.019,6.11,9.126,4.657,5.388
2014,17.378,6.132,9.4,4.792,5.64
2015,17.354,6.042,9.729,5.045,5.942
2016,17.219,5.896,9.843,5.251,6.191
2017,16.726,5.895,9.867,5.398,6.549
2018,16.444,5.735,9.794,5.546,6.877
2019,15.906,5.542,9.68,5.627,7.087
2020,13.387,5.792,10.165,5.934,7.713
2021,12.123,5.861,10.667,6.351,8.386
2022,12.048,5.602,10.745,6.582,8.812
