Degree,Subject,Early_Career_Salary,Job_Growth
Masters,Business Administration,136754,0.03
Masters,Chemical Engineering,93265,0.08
Masters,Computer Engineering,107614,0.23
Masters,Economics,111940,0.06
Masters,Engineering,120818,0.04
Masters,Finance,144563,0.03
Masters,Healthcare Administration,72669,0.28
Masters,Industrial Engineering,120900,0.02
Masters,Information Sciences,124113,0.15
Masters,Marketing,70297,0.06
Masters,Mathematician,111102,0.3
Masters,Medicine,199423,0.38
Masters,Petroleum Engineering,96592,0.02
Masters,Physicians Assistant,117562,0.27
Masters,Software Engineering,108896,0.25
