Masters Degree,Subject,Median_Debt,Degree_Type
Masters,Business Administration,43251,Masters
Masters,Chemical Engineering,42343,Masters
Masters,Computer Engineering,42647,Masters
Masters,Economics,43053,Masters
Masters,Engineering,33235,Masters
Masters,Finance,43408,Masters
Masters,Healthcare administration,48726,Masters
Masters,Industrial Engineering,35536,Masters
Masters,Information Sciences,40579,Masters
Masters,Marketing,35738,Masters
Masters,Mathematician,54725,Masters
Masters,Medicine,70484,Masters
Masters,Petroleum Engineering,28920,Masters
Masters,Physcians Assistant,154632,Masters
Masters,Software Engineering,42800,Masters
